time,x,y,z
0,0,0.75,0
0.01,-0.014884,0.749513,0.0225697
0.02,-0.029534,0.748046,2.04436
0.03,-0.0439452,0.745593,4.06532
0.04,-0.0581132,0.742152,6.08541
0.05,-0.0720344,0.737719,8.10457
0.06,-0.0857057,0.732295,10.1228
0.07,-0.0991244,0.72588,12.14
0.08,-0.112288,0.718478,14.1561
0.09,-0.125196,0.710094,16.1711
0.1,-0.137845,0.700734,18.185
0.11,-0.150235,0.690407,20.1976
0.12,-0.162365,0.679124,22.209
0.13,-0.174235,0.666896,24.2192
0.14,-0.185844,0.653738,26.228
0.15,-0.197193,0.639664,28.2354
0.16,-0.20828,0.624693,30.2414
0.17,-0.219106,0.608844,32.2459
0.18,-0.229672,0.592136,34.249
0.19,-0.239977,0.574593,36.2505
0.2,-0.250021,0.556237,38.2504
0.21,-0.259806,0.537096,40.2487
0.22,-0.269329,0.517194,42.2453
0.23,-0.278592,0.496562,44.2402
0.24,-0.287593,0.475227,46.2335
0.25,-0.296333,0.453222,48.2249
0.26,-0.30481,0.430578,50.2146
0.27,-0.313024,0.407329,52.2025
0.28,-0.320972,0.383508,54.1885
0.29,-0.328654,0.359153,56.1726
0.3,-0.336068,0.334299,58.1549
0.31,-0.34321,0.308983,60.1353
0.32,-0.350079,0.283244,62.1137
0.33,-0.356671,0.25712,64.0902
0.34,-0.362983,0.230651,66.0647
0.35,-0.36901,0.203878,68.0372
0.36,-0.37475,0.17684,70.0077
0.37,-0.380196,0.149579,71.9763
0.38,-0.385345,0.122136,73.9428
0.39,-0.39019,0.0945527,75.9073
0.4,-0.394726,0.0668702,77.8698
0.41,-0.398946,0.0391304,79.8303
0.42,-0.402844,0.0113751,81.7887
0.43,-0.406413,-0.0163544,83.7452
0.44,-0.409646,-0.0440166,85.6996
0.45,-0.412534,-0.0715707,87.652
0.46,-0.415071,-0.098976,89.6025
0.47,-0.417247,-0.126192,91.5509
0.48,-0.419055,-0.15318,93.4974
0.49,-0.420486,-0.179901,95.4419
0.5,-0.421531,-0.206315,97.3845
0.51,-0.42218,-0.232387,99.3252
0.52,-0.422426,-0.258078,101.264
0.53,-0.422258,-0.283354,103.201
0.54,-0.421667,-0.30818,105.136
0.55,-0.420645,-0.332521,107.069
0.56,-0.419182,-0.356346,109.001
0.57,-0.417269,-0.379624,110.93
0.58,-0.414897,-0.402323,112.858
0.59,-0.412057,-0.424416,114.784
0.6,-0.408741,-0.445874,116.709
0.61,-0.404941,-0.466671,118.632
0.62,-0.400649,-0.486784,120.553
0.63,-0.395857,-0.506188,122.473
0.64,-0.390558,-0.524862,124.391
0.65,-0.384746,-0.542785,126.308
0.66,-0.378414,-0.55994,128.223
0.67,-0.371558,-0.576308,130.137
0.68,-0.364171,-0.591875,132.05
0.69,-0.356251,-0.606626,133.961
0.7,-0.347793,-0.620548,135.871
0.71,-0.338796,-0.633633,137.78
0.72,-0.329256,-0.645869,139.687
0.73,-0.319173,-0.65725,141.594
0.74,-0.308547,-0.66777,143.499
0.75,-0.297378,-0.677425,145.404
0.76,-0.285669,-0.686211,147.307
0.77,-0.273422,-0.694128,149.209
0.78,-0.260641,-0.701177,151.111
0.79,-0.247331,-0.707358,153.012
0.8,-0.233497,-0.712676,154.912
0.81,-0.219146,-0.717135,156.811
0.82,-0.204288,-0.720741,158.709
0.83,-0.188931,-0.723502,160.607
0.84,-0.173085,-0.725428,162.504
0.85,-0.156762,-0.726527,164.401
0.86,-0.139976,-0.726813,166.297
0.87,-0.12274,-0.726297,168.193
0.88,-0.105069,-0.724993,170.088
0.89,-0.0869797,-0.722915,171.983
0.9,-0.0684898,-0.720081,173.877
0.91,-0.049618,-0.716507,175.771
